                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 2.4362,                 3.0669,                 2.1281,                  1.215,                0.46938,                0.08061,                0.08875,                0.02584,                0.40395,                0.08817,                0.06815,                0.01717,                 2.7686,                 3.5138,                 2.5579,                 1.1477,             0.00048498,             0.00048498,             0.00048498
                     84,                 2.5472,                 3.0616,                 2.1738,                 1.2173,                0.45987,                0.07418,                0.07254,                0.02234,                0.41555,                0.07274,                0.08643,                0.01812,                 2.8277,                 3.5208,                 2.5191,                 1.1548,             0.00048215,             0.00048215,             0.00048215
                     85,                 2.4777,                 2.9335,                  2.206,                  1.188,                0.42716,                0.20224,                0.10309,                0.02808,                0.40292,                 0.1909,                0.10247,                0.02555,                 2.7701,                 3.5157,                 2.3981,                 1.1333,             0.00047932,             0.00047932,             0.00047932
                     86,                 2.4985,                 2.9091,                 2.1392,                 1.2049,                0.50383,                0.19191,                 0.0808,                0.02322,                0.43117,                0.17088,                0.08753,                0.01803,                 2.7998,                 3.5111,                 2.6569,                 1.1507,              0.0004765,              0.0004765,              0.0004765
                     87,                 2.5036,                  2.972,                 2.1792,                 1.2032,                0.45047,                0.08143,                0.06923,                0.01996,                0.41513,                0.06119,                0.03767,                0.01007,                 2.8859,                 3.5895,                 2.5692,                 1.1659,             0.00047367,             0.00047367,             0.00047367
                     88,                 2.5701,                 3.1961,                 2.2443,                 1.2068,                0.31166,                0.10398,                0.07834,                0.02159,                0.30679,                0.07143,                0.04075,                0.01081,                 2.8846,                 3.5684,                 2.6153,                 1.1763,             0.00047084,             0.00047084,             0.00047084
                     89,                 2.4739,                 3.1083,                 2.1541,                 1.2224,                0.44818,                0.07885,                0.07815,                0.02063,                0.41102,                0.05357,                0.03389,                  0.008,                 2.8642,                 3.5342,                 2.6994,                 1.1447,             0.00046801,             0.00046801,             0.00046801
                     90,                   2.46,                 3.0135,                 2.1317,                 1.2151,                0.46987,                0.06923,                0.06229,                 0.0156,                0.40623,                0.05724,                0.03006,                0.00812,                 2.8443,                 3.5785,                 2.6804,                  1.147,             0.00046519,             0.00046519,             0.00046519
                     91,                 2.4457,                 2.8687,                 2.2121,                 1.2258,                0.41402,                0.09246,                0.11012,                0.02663,                0.38091,                0.05829,                0.07188,                0.01372,                 2.8813,                 3.6412,                 2.5232,                 1.1477,             0.00046236,             0.00046236,             0.00046236
                     92,                 2.4681,                 3.0022,                 2.2195,                 1.2442,                0.43474,                0.07961,                0.05936,                0.01544,                0.40613,                0.05599,                0.03337,                 0.0086,                 2.9645,                 3.7731,                 2.6525,                 1.1617,             0.00045953,             0.00045953,             0.00045953
                     93,                 2.3622,                  2.912,                 2.0823,                 1.1953,                0.43444,                0.07429,                0.06613,                0.02019,                0.30128,                0.06017,                0.04126,                0.01312,                 2.8185,                 3.6026,                 2.6677,                  1.141,              0.0004567,              0.0004567,              0.0004567
                     94,                 2.4463,                 2.9722,                  2.149,                 1.2161,                0.37803,                0.10002,                0.07995,                0.02419,                0.27441,                0.06435,                0.03305,                0.00934,                  2.855,                 3.4383,                  2.589,                 1.1368,             0.00045388,             0.00045388,             0.00045388
                     95,                  2.433,                 3.0509,                 2.2033,                 1.2694,                0.19422,                0.11722,                0.07294,                0.02541,                0.43035,                0.05127,                 0.0343,                 0.0093,                 2.9173,                 3.7593,                 2.6814,                 1.1512,             0.00045105,             0.00045105,             0.00045105
                     96,                 2.4862,                 2.8251,                  2.149,                 1.2356,                0.45194,                0.07542,                 0.0788,                0.02451,                 0.3962,                0.05861,                0.02948,                0.00864,                 2.8593,                 3.6938,                 2.7505,                 1.1472,             0.00044822,             0.00044822,             0.00044822
